Datetime,Temperature,Humidity
2021-09-26 11:06:02,20.93,61.76
2021-09-26 11:06:04,20.71,58.90
2021-09-26 11:06:06,20.78,55.77
2021-09-26 11:06:08,20.75,54.15
2021-09-26 11:06:10,20.27,54.48
2021-09-26 11:06:12,19.72,53.67
2021-09-26 11:06:14,19.80,53.92
2021-09-26 11:06:16,19.78,54.55
2021-09-26 11:06:18,19.09,55.54
2021-09-26 11:06:20,19.11,57.58
2021-09-26 11:06:22,19.06,56.99
2021-09-26 11:06:24,18.69,58.46
2021-09-26 11:06:26,18.32,56.83
2021-09-26 11:06:28,18.60,57.67
2021-09-26 11:06:30,18.73,57.89
2021-09-26 11:06:32,18.05,58.63
2021-09-26 11:06:34,18.12,53.64
2021-09-26 11:06:36,18.57,51.91
2021-09-26 11:06:38,18.66,52.81
2021-09-26 11:06:40,18.67,54.79
2021-09-26 11:06:42,17.92,53.78
2021-09-26 11:06:44,18.18,52.26
2021-09-26 11:06:46,18.52,52.75
2021-09-26 11:06:48,18.28,56.33
2021-09-26 11:06:50,18.84,55.96
2021-09-26 11:06:52,17.87,53.14
2021-09-26 11:06:54,18.26,54.54
2021-09-26 11:06:56,18.04,51.42
2021-09-26 11:06:58,18.40,51.06
2021-09-26 11:07:00,18.31,50.00
2021-09-26 11:07:02,18.04,52.19
2021-09-26 11:07:04,17.35,50.78
2021-09-26 11:07:06,17.17,50.45
2021-09-26 11:07:08,17.01,52.27
2021-09-26 11:07:10,16.74,48.39
2021-09-26 11:07:12,16.01,49.10
2021-09-26 11:07:14,16.55,51.76
2021-09-26 11:07:16,17.31,56.46
2021-09-26 11:07:18,17.21,54.65
2021-09-26 11:07:20,16.94,53.56
2021-09-26 11:07:23,15.82,49.91
2021-09-26 11:07:25,15.52,49.17
2021-09-26 11:07:27,14.86,48.09
2021-09-26 11:07:29,14.81,46.91
2021-09-26 11:07:31,14.83,49.85
2021-09-26 11:07:33,14.91,51.41
2021-09-26 11:07:35,14.68,46.91
2021-09-26 11:07:37,14.15,46.85
2021-09-26 11:07:39,14.09,44.99
2021-09-26 11:07:41,13.98,43.60
2021-09-26 11:07:43,14.24,44.30
2021-09-26 11:07:45,13.71,44.37
2021-09-26 11:07:47,13.38,41.32
2021-09-26 11:07:49,13.45,37.32
2021-09-26 11:07:51,13.80,38.98
2021-09-26 11:07:53,13.79,39.26
2021-09-26 11:07:55,14.10,39.24
2021-09-26 11:07:57,13.58,40.63
2021-09-26 11:07:59,13.46,42.76
2021-09-26 11:08:01,13.40,39.16
2021-09-26 11:08:03,13.50,41.27
2021-09-26 11:08:05,13.32,39.64
2021-09-26 11:08:07,13.12,42.29
2021-09-26 11:08:09,13.63,43.14
2021-09-26 11:08:11,14.03,45.19
2021-09-26 11:08:13,14.54,44.11
2021-09-26 11:08:15,14.57,43.76
2021-09-26 11:08:17,14.10,43.10
2021-09-26 11:08:19,13.70,40.26
2021-09-26 11:08:21,13.38,38.90
2021-09-26 11:08:23,13.55,36.48
2021-09-26 11:08:25,13.44,35.61
2021-09-26 11:08:27,13.21,33.90
2021-09-26 11:08:29,13.33,34.48
2021-09-26 11:08:31,12.88,32.21
2021-09-26 11:08:33,12.65,29.85
2021-09-26 11:08:35,12.93,27.79
2021-09-26 11:08:37,12.01,28.64
2021-09-26 11:08:39,11.55,27.37
